feature,importance
item_avg_bill_items,1423
ui_recency_days,1215
item_avg_bill_value,900
ui_repeat_due_ratio,830
category_l1,822
item_discount_positive_rate,795
item_transaction_share_30d,765
item_avg_price,746
item_avg_discount,736
category_l2,704
item_n_customers,675
ub_recency_days,667
item_avg_discount_rate,644
category_l3,594
item_n_transactions_30d,585
ul1_recency_days,557
brand,529
ul3_recency_days,521
item_catalog_price,520
category,519
user_days_since_last_bill,515
ui_avg_repeat_interval_days,511
ul2_recency_days,506
item_n_customers_30d,493
item_total_quantity,488
item_transaction_share_60d,466
user_n_active_days,438
item_n_transactions,438
manufacturer,363
ul1_n_bills,347
item_n_customers_60d,341
ul2_total_quantity,338
user_n_transactions_60d,335
ui_total_quantity,329
ui_purchase_span_days,317
user_avg_discount,299
item_n_transactions_60d,287
user_price_p25,286
ui_n_transactions,283
ul1_n_transactions_30d,282
ui_n_transactions_60d,282
uman_transaction_share,281
uman_recency_days,279
ul3_n_transactions_30d,277
user_n_unique_items,272
user_avg_items_per_bill,251
uc_transaction_share,249
item_main_location_transaction_share,246
user_discount_positive_rate,241
ul1_transaction_share,240
item_days_since_first_seen,236
is_cooccurrence_candidate,236
user_total_spend,227
user_price_p75,226
user_median_price,221
item_user_discount_rate_diff,218
item_price_to_user_avg,213
user_total_quantity,210
user_avg_bill_value,210
ul3_n_bills,196
user_main_location,192
user_avg_discount_rate,186
uc_total_quantity,182
ub_n_transactions,181
user_n_bills_30d,180
user_avg_quantity_per_bill,178
ui_n_bills,174
ub_transaction_share,170
ul3_n_transactions,164
uc_n_bills,163
ul3_transaction_share,154
uc_n_transactions,146
sale_status,138
ub_n_bills,135
user_n_transactions,129
ub_total_quantity,120
user_avg_price,117
item_n_bills,71
