feature,importance
ui_recency_days,25
item_n_transactions,20
category_l1,17
user_n_active_days,10
sale_status,8
item_avg_price,7
item_n_customers,6
user_total_quantity,6
ui_n_bills,5
ui_total_quantity,4
item_n_bills,3
brand,3
item_avg_discount,2
user_n_bills,2
ui_n_transactions,2
user_n_unique_items,1
user_avg_discount,1
category_l3,1
category_l2,1
user_avg_items_per_bill,0
user_avg_quantity_per_bill,0
user_avg_price,0
user_n_transactions,0
item_total_quantity,0
category,0
manufacturer,0
size,0
